4.0,Plant_ID,Cluster_ID,Treatment,Movement,Fertilization,Host_Variation,Host_Species,ILN,LLL,FPLD_1,FPLD_2,FPLD_3,FPLD_4,FPLD_5,FPLD_6,FPLD_7,FPLD_8,FPLD_9,Total_FPLD,Mean_PLD,FSN,ISMM,ISM,FSMM,FSM,RGR,Notes
3,A98,A98,MN_FY_HY,N,Y,N,K,5,10.2,2.0,4.0,1.0,0.0,0.0,NA,NA,NA,NA,7,1.4,NA,NA,0.04067,NA,0.06022,0.1962569016,NA
3,A99,A99,MN_FY_HY,N,Y,N,K,7,14.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,NA,NA,4,0.5714285714,NA,NA,0.05092,NA,NA,NA,no spod found
3,A100,A100,MN_FY_HY,N,Y,Y,M,5,13,25.0,35.0,10.0,0.0,0.0,0.0,NA,NA,NA,70,14,NA,NA,0.03163,NA,0.08859,0.5149564736,NA
3,A101,A101,MN_FY_HY,N,Y,Y,M,7,17.5,15.0,30.0,10.0,0.0,2.0,0.0,0.0,NA,NA,57,8.142857143,NA,NA,0.05249,NA,0.13787,0.4828442685,NA
3,A102,A102,MN_FY_HY,N,Y,Y,M,3,7.2,6.0,6.0,1.0,NA,NA,NA,NA,NA,NA,13,4.333333333,NA,NA,0.0438,NA,0.05746,0.1357276181,NA
3,A103,A103,MN_FY_HY,N,Y,Y,M,5,10,15.0,10.0,3.0,4.0,3.0,NA,NA,NA,NA,35,7,NA,NA,0.05088,NA,0.09229,0.2977329371,NA
3,A104,A104,MN_FY_HY,N,Y,Y,M,5,13.7,15.0,0.0,9.0,1.0,0.0,NA,NA,NA,NA,25,5,NA,NA,0.04898,NA,0.08464,0.2734974583,NA
3,A105,A105,MN_FY_HY,N,Y,Y,M,6,14.5,30.0,45.0,3.0,1.0,1.0,0.0,NA,NA,NA,80,13.33333333,NA,NA,0.05308,NA,0.12966,0.4465577151,NA
3,A106,A106,MN_FY_HY,N,Y,Y,M,6,13,65.0,30.0,6.0,1.0,0.0,1.0,NA,NA,NA,103,17.16666667,NA,NA,0.04304,NA,0.12355,0.5272580083,NA
3,A107,A107,MN_FY_HY,N,Y,Y,M,6,12.5,10.0,35.0,6.0,1.0,0.0,0.0,NA,NA,NA,52,8.666666667,NA,NA,0.04151,NA,0.10544,0.4661038543,NA
3,A108,A108,MN_FY_HY,N,Y,Y,M,5,10.5,50.0,15.0,18.0,18.0,2.0,NA,NA,NA,NA,103,20.6,NA,NA,0.07852,NA,0.16221,0.3627692113,NA
3,N73,N73_N78,MY_FY_HY,Y,Y,Y,K,6,10.4,27.0,8.0,6.0,4.0,3.0,0.0,NA,NA,NA,48,8,6,0.2655,0.04425,0.43552,0.07258666667,0.2474629394,NA
3,N74,N73_N78,MY_FY_HY,Y,Y,Y,M,4,8.4,15.0,8.0,0.0,0.0,NA,NA,NA,NA,NA,23,5.75,6,0.2655,0.04425,0.43552,0.07258666667,0.2474629394,NA
3,N75,N73_N78,MY_FY_HY,Y,Y,Y,K,5,10,3.0,3.0,2.0,0.0,0.0,NA,NA,NA,NA,8,1.6,6,0.2655,0.04425,0.43552,0.07258666667,0.2474629394,NA
3,N76,N73_N78,MY_FY_HY,Y,Y,Y,M,4,9.1,23.0,8.0,1.0,1.0,NA,NA,NA,NA,NA,33,8.25,6,0.2655,0.04425,0.43552,0.07258666667,0.2474629394,NA
3,N77,N73_N78,MY_FY_HY,Y,Y,Y,K,4,8.2,7.0,2.0,2.0,0.0,NA,NA,NA,NA,NA,11,2.75,6,0.2655,0.04425,0.43552,0.07258666667,0.2474629394,NA
3,N78,N73_N78,MY_FY_HY,Y,Y,Y,M,5,7.9,23.0,8.0,1.0,0.0,0.0,NA,NA,NA,NA,32,6.4,6,0.2655,0.04425,0.43552,0.07258666667,0.2474629394,NA
3,N79,N79_N84,MY_FY_HY,Y,Y,Y,K,7,10.7,12.0,5.0,4.0,2.0,1.0,1.0,0.0,NA,NA,25,3.571428571,6,0.30886,0.05147666667,0.39306,0.06551,0.1205370861,NA
3,N80,N79_N84,MY_FY_HY,Y,Y,Y,M,6,14,28.0,1.0,1.0,0.0,0.0,0.0,NA,NA,NA,30,5,6,0.30886,0.05147666667,0.39306,0.06551,0.1205370861,NA
3,N81,N79_N84,MY_FY_HY,Y,Y,Y,K,6,10.5,20.0,17.0,6.0,0.0,0.0,0.0,NA,NA,NA,43,7.166666667,6,0.30886,0.05147666667,0.39306,0.06551,0.1205370861,NA
3,N82,N79_N84,MY_FY_HY,Y,Y,Y,M,6,15,9.0,8.0,8.0,1.0,0.0,0.0,NA,NA,NA,26,4.333333333,6,0.30886,0.05147666667,0.39306,0.06551,0.1205370861,NA
3,N83,N79_N84,MY_FY_HY,Y,Y,Y,K,7,10.6,25.0,4.0,2.0,0.0,0.0,0.0,0.0,NA,NA,31,4.428571429,6,0.30886,0.05147666667,0.39306,0.06551,0.1205370861,NA
3,N84,N79_N84,MY_FY_HY,Y,Y,Y,M,6,13.5,3.0,1.0,1.0,0.0,0.0,0.0,NA,NA,NA,5,0.8333333333,6,0.30886,0.05147666667,0.39306,0.06551,0.1205370861,NA
3,N85,N85_N90,MY_FY_HY,Y,Y,Y,K,6,11.4,14.0,3.0,2.0,0.0,0.0,0.0,NA,NA,NA,19,3.166666667,6,0.27882,0.04647,0.51936,0.08656,0.311015436,NA
3,N86,N85_N90,MY_FY_HY,Y,Y,Y,M,6,15.5,2.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,3,0.5,6,0.27882,0.04647,0.51936,0.08656,0.311015436,NA
3,N87,N85_N90,MY_FY_HY,Y,Y,Y,K,7,10.9,26.0,11.0,3.0,2.0,0.0,0.0,0.0,NA,NA,42,6,6,0.27882,0.04647,0.51936,0.08656,0.311015436,NA
3,N88,N85_N90,MY_FY_HY,Y,Y,Y,M,7,15.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,2,0.2857142857,6,0.27882,0.04647,0.51936,0.08656,0.311015436,NA
3,N89,N85_N90,MY_FY_HY,Y,Y,Y,K,6,12,4.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,5,0.8333333333,6,0.27882,0.04647,0.51936,0.08656,0.311015436,NA
3,N90,N85_N90,MY_FY_HY,Y,Y,Y,M,6,15,4.0,3.0,1.0,0.0,0.0,0.0,NA,NA,NA,8,1.333333333,6,0.27882,0.04647,0.51936,0.08656,0.311015436,NA
3,N91,N91,MN_FY_HN,N,Y,N,K,7,14.5,5.0,4.0,1.0,0.0,0.0,0.0,0.0,NA,NA,10,1.428571429,1,NA,0.05981,NA,0.10325,0.2729901804,NA
3,N92,N92,MN_FY_HN,N,Y,N,K,6,11.7,3.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,4,0.6666666667,1,NA,0.05192,NA,0.06531,0.1147205458,NA
3,N93,N93,MN_FY_HN,N,Y,N,K,7,13.1,10.0,7.0,6.0,0.0,0.0,0.0,0.0,NA,NA,23,3.285714286,1,NA,0.04346,NA,0.08736,0.3490982686,NA
3,N94,N94,MN_FY_HN,N,Y,N,K,7,13.5,16.0,13.0,0.0,0.0,0.0,0.0,0.0,NA,NA,29,4.142857143,1,NA,0.04964,NA,0.11887,0.4366167493,NA
3,N95,N95,MN_FY_HN,N,Y,N,K,6,12.6,4.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,5,0.8333333333,1,NA,0.05211,NA,0.05343,0.01250775852,NA
3,N96,N96,MN_FY_HN,N,Y,N,K,6,12.5,15.0,9.0,6.0,2.0,0.0,0.0,NA,NA,NA,32,5.333333333,1,NA,0.06058,NA,0.09648,0.2326854637,NA
3,N97,N97,MN_FY_HN,N,Y,N,K,4,12.4,8.0,3.0,2.0,0.0,NA,NA,NA,NA,NA,13,3.25,1,NA,0.05469,NA,0.08376,0.2131373446,NA
3,N98,N98,MN_FY_HN,N,Y,N,K,6,9.8,7.0,2.0,0.0,0.0,0.0,0.0,NA,NA,NA,9,1.5,1,NA,0.03992,NA,0.06971,0.278733164,NA
3,N99,N99,MN_FY_HN,N,Y,N,K,5,10.2,18.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,18,3.6,1,NA,0.04524,NA,0.11461,0.4647767046,NA
3,N100,N100,MN_FY_HN,N,Y,N,K,6,9.5,3.0,2.0,2.0,0.0,0.0,0.0,NA,NA,NA,7,1.166666667,1,NA,0.04903,NA,0.06505,0.1413619246,NA
3,N101,N101,MN_FY_HN,N,Y,N,K,6,10.3,18.0,9.0,1.0,0.0,0.0,0.0,NA,NA,NA,28,4.666666667,1,NA,0.05387,NA,0.11323,0.3714237058,NA
3,N102,N102,MN_FY_HN,N,Y,N,K,4,11.5,15.0,10.0,6.0,3.0,NA,NA,NA,NA,NA,34,8.5,1,NA,0.0431,NA,0.10695,0.4544192192,NA
3,N103,N103,MN_FY_HN,N,Y,N,K,5,10.6,8.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,8,1.6,1,NA,0.04467,NA,0.06981,0.2232375653,NA
3,N104,N104,MN_FY_HN,N,Y,N,K,6,9.1,20.0,11.0,0.0,0.0,0.0,0.0,NA,NA,NA,31,5.166666667,1,NA,0.05132,NA,0.07838,0.2117441265,NA
3,N105,N105,MN_FY_HN,N,Y,N,K,5,11.4,5.0,2.0,1.0,0.0,0.0,NA,NA,NA,NA,8,1.6,1,NA,0.04926,NA,0.09292,0.3173132576,NA
3,N106,N106,MN_FY_HN,N,Y,N,K,4,11.5,3.0,2.0,0.0,0.0,NA,NA,NA,NA,NA,5,1.25,1,NA,0.04811,NA,0.05349,0.05300233242,NA
3,N107,N107,MN_FY_HN,N,Y,N,K,6,10.4,16.0,10.0,2.0,0.0,0.0,0.0,NA,NA,NA,28,4.666666667,1,NA,0.05852,NA,0.12614,0.3840119125,NA
3,N108,N108,MN_FY_HN,N,Y,N,K,4,13,7.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,7,1.75,1,NA,0.04926,NA,0.0537,0.04315030441,NA
4,A109,A109_A114,MY_FY_HY,Y,Y,N,K,6,8.5,6.0,10.0,0.0,10.0,3.0,0.0,NA,NA,NA,29,4.833333333,6,0.33938,0.05656333333,0.63871,0.1064516667,0.3161650469,all kale leaves are much more purple and colored this round; stems also seem stronger; data collection started at 11AM
4,A110,A109_A114,MY_FY_HY,Y,Y,N,K,6,10,40.0,0.0,10.0,2.0,2.0,2.0,NA,NA,NA,56,9.333333333,6,0.33938,0.05656333333,0.63871,0.1064516667,0.3161650469,NA
4,A111,A109_A114,MY_FY_HY,Y,Y,N,K,6,8.6,25.0,4.0,0.0,0.0,5.0,0.0,NA,NA,NA,34,5.666666667,6,0.33938,0.05656333333,0.63871,0.1064516667,0.3161650469,NA
4,A112,A109_A114,MY_FY_HY,Y,Y,N,K,6,8.8,5.0,1.0,0.0,6.0,5.0,0.0,NA,NA,NA,17,2.833333333,6,0.33938,0.05656333333,0.63871,0.1064516667,0.3161650469,NA
4,A113,A109_A114,MY_FY_HY,Y,Y,N,K,6,8,0.0,100.0,1.0,0.0,1.0,0.0,NA,NA,NA,102,17,6,0.33938,0.05656333333,0.63871,0.1064516667,0.3161650469,NA
4,A114,A109_A114,MY_FY_HY,Y,Y,N,K,6,7.8,20.0,0.0,20.0,7.0,1.0,0.0,NA,NA,NA,48,8,6,0.33938,0.05656333333,0.63871,0.1064516667,0.3161650469,NA
4,A115,A115_A120,MY_FY_HY,Y,Y,N,K,5,7,6.0,27.0,1.0,5.0,4.0,NA,NA,NA,NA,43,8.6,5,0.4043,0.06738333333,0.64189,0.128378,0.3222906648,NA
4,A116,A115_A120,MY_FY_HY,Y,Y,N,K,6,9,5.0,0.0,0.0,10.0,7.0,0.0,NA,NA,NA,22,3.666666667,5,0.4043,0.06738333333,0.64189,0.128378,0.3222906648,NA
4,A117,A115_A120,MY_FY_HY,Y,Y,N,K,6,7.5,0.0,12.0,2.0,1.0,2.0,0.0,NA,NA,NA,17,2.833333333,5,0.4043,0.06738333333,0.64189,0.128378,0.3222906648,NA
4,A118,A115_A120,MY_FY_HY,Y,Y,N,K,6,9.1,4.0,4.0,15.0,25.0,0.0,2.0,NA,NA,NA,50,8.333333333,5,0.4043,0.06738333333,0.64189,0.128378,0.3222906648,NA
4,A119,A115_A120,MY_FY_HY,Y,Y,N,K,6,8.8,2.0,12.0,15.0,25.0,0.0,0.0,NA,NA,NA,54,9,5,0.4043,0.06738333333,0.64189,0.128378,0.3222906648,NA
4,A120,A115_A120,MY_FY_HY,Y,Y,N,K,6,8.5,0.0,1.0,4.0,8.0,0.0,0.0,NA,NA,NA,13,2.166666667,5,0.4043,0.06738333333,0.64189,0.128378,0.3222906648,NA
4,A121,A121_126,MY_FY_HY,Y,Y,N,K,6,8.5,2.0,100.0,0.0,3.0,4.0,0.0,NA,NA,NA,109,18.16666667,6,0.54941,0.09156833333,0.87465,0.145775,0.2324894156,NA
4,A122,A121_126,MY_FY_HY,Y,Y,N,K,5,8.6,1.0,50.0,5.0,3.0,1.0,NA,NA,NA,NA,60,12,6,0.54941,0.09156833333,0.87465,0.145775,0.2324894156,NA
4,A123,A121_126,MY_FY_HY,Y,Y,N,K,6,9.1,5.0,25.0,1.0,20.0,12.0,0.0,NA,NA,NA,63,10.5,6,0.54941,0.09156833333,0.87465,0.145775,0.2324894156,NA
4,A124,A121_126,MY_FY_HY,Y,Y,N,K,6,8.1,80.0,0.0,12.0,0.0,1.0,0.0,NA,NA,NA,93,15.5,6,0.54941,0.09156833333,0.87465,0.145775,0.2324894156,NA
4,A125,A121_126,MY_FY_HY,Y,Y,N,K,6,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,0.54941,0.09156833333,0.87465,0.145775,0.2324894156,NA
4,A126,A121_126,MY_FY_HY,Y,Y,N,K,6,9.5,30.0,0.0,12.0,4.0,3.0,0.0,NA,NA,NA,49,8.166666667,6,0.54941,0.09156833333,0.87465,0.145775,0.2324894156,NA
4,A127,A127,MN_FY_HN,N,Y,N,K,6,8.6,0.0,2.0,8.0,23.0,1.0,0.0,NA,NA,NA,34,5.666666667,1,NA,0.06819,NA,0.14327,0.3712165177,NA
4,A128,A128,MN_FY_HN,N,Y,N,K,6,7.6,0.0,1.0,5.0,0.0,1.0,1.0,NA,NA,NA,8,1.333333333,1,NA,0.03925,NA,0.07788,0.3426088681,1 leaf wilted
4,A129,A129,MN_FY_HN,N,Y,N,K,6,7.9,3.0,0.0,15.0,6.0,2.0,0.0,NA,NA,NA,26,4.333333333,1,NA,0.05798,NA,0.1155,0.3445862032,NA
4,A130,A130,MN_FY_HN,N,Y,N,K,6,9.7,1.0,0.0,3.0,8.0,0.0,0.0,NA,NA,NA,12,2,1,NA,0.04137,NA,0.08095,0.3356378498,NA
4,A131,A131,MN_FY_HN,N,Y,N,K,5,8.8,20.0,0.0,12.0,8.0,1.0,0.0,NA,NA,NA,41,8.2,1,NA,0.04497,NA,0.0878,0.3345329499,NA
4,A132,A132,MN_FY_HN,N,Y,N,K,6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0,0,1,NA,0.10882,NA,0.08745,-0.1093139698,NA
4,A133,A133,MN_FY_HN,N,Y,N,K,6,7.4,0.0,0.0,3.0,20.0,0.0,4.0,NA,NA,NA,27,4.5,1,NA,0.03627,NA,0.09172,0.4638747523,NA
4,A134,A134,MN_FY_HN,N,Y,N,K,6,8.2,5.0,30.0,4.0,1.0,0.0,0.0,NA,NA,NA,40,6.666666667,1,NA,0.08364,NA,0.17671,0.3739940481,NA
4,A135,A135,MN_FY_HN,N,Y,N,K,6,8.1,15.0,3.0,20.0,5.0,0.0,1.0,NA,NA,NA,44,7.333333333,1,NA,0.10716,NA,0.13502,0.1155499355,NA
4,A136,A136,MN_FY_HN,N,Y,N,M,7,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NA,NA,1,0.1428571429,1,NA,0.04044,NA,0.03342,-0.09533243549,NA
4,A137,A137,MN_FY_HN,N,Y,N,M,6,12.5,12.0,20.0,3.0,1.0,0.0,0.0,N/A,NA,NA,36,6,1,NA,0.05026,NA,0.08275,0.2493072411,NA
4,A138,A138,MN_FY_HN,N,Y,N,M,8,17.5,60.0,27.0,8.0,4.0,1.0,1.0,1.0,0.0,NA,102,12.75,1,NA,0.05766,NA,0.0983,0.2667301675,NA
4,A139,A139,MN_FY_HN,N,Y,N,M,9,16.5,60.0,30.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,107,11.88888889,1,NA,0.11274,NA,0.13706,0.09766725175,NA
4,A140,A140,MN_FY_HN,N,Y,N,M,7,13.5,5.0,1.0,0.0,6.0,1.0,0.0,0.0,NA,NA,13,1.857142857,1,NA,0.0339,NA,0.05332,0.2264482405,NA
4,A141,A141,MN_FY_HN,N,Y,N,M,7,16.2,30.0,3.0,4.0,4.0,0.0,0.0,2.0,NA,NA,43,6.142857143,1,NA,0.03017,NA,0.06674,0.3969782101,NA
4,A142,A142,MN_FY_HN,N,Y,N,M,7,10.7,35.0,50.0,2.0,2.0,0.0,0.0,0.0,NA,NA,89,12.71428571,1,NA,0.08564,NA,0.10636,0.1083385513,NA
4,A143,A143,MN_FY_HN,N,Y,N,M,8,14.1,40.0,5.0,14.0,3.0,0.0,0.0,1.0,0.0,NA,63,7.875,1,NA,0.08555,NA,0.1146,0.146173402,NA
4,A144,A144,MN_FY_HN,N,Y,N,M,7,12.5,60.0,32.0,0.0,1.0,0.0,0.0,0.0,NA,NA,93,13.28571429,1,NA,0.05354,NA,0.09789,0.3017076806,NA
4,N109,N109_N114,MY_FY_HY,Y,Y,Y,K,6,7.5,35.0,18.0,11.0,7.0,4.0,0.0,NA,NA,NA,75,12.5,6,0.46924,0.07820666667,0.74973,0.124955,0.2342993885,NA
4,N110,N109_N114,MY_FY_HY,Y,Y,Y,M,6,13,5.0,1.0,1.0,0.0,0.0,0.0,NA,NA,NA,7,1.166666667,6,0.46924,0.07820666667,0.74973,0.124955,0.2342993885,NA
4,N111,N109_N114,MY_FY_HY,Y,Y,Y,K,6,7.8,27.0,12.0,5.0,3.0,0.0,0.0,NA,NA,NA,47,7.833333333,6,0.46924,0.07820666667,0.74973,0.124955,0.2342993885,NA
4,N112,N109_N114,MY_FY_HY,Y,Y,Y,M,7,12.6,45.0,6.0,4.0,2.0,1.0,0.0,0.0,NA,NA,58,8.285714286,6,0.46924,0.07820666667,0.74973,0.124955,0.2342993885,NA
4,N113,N109_N114,MY_FY_HY,Y,Y,Y,K,6,7.6,42.0,35.0,21.0,19.0,9.0,8.0,NA,NA,NA,134,22.33333333,6,0.46924,0.07820666667,0.74973,0.124955,0.2342993885,NA
4,N114,N109_N114,MY_FY_HY,Y,Y,Y,M,7,14.7,6.0,4.0,2.0,0.0,0.0,0.0,0.0,NA,NA,12,1.714285714,6,0.46924,0.07820666667,0.74973,0.124955,0.2342993885,NA
4,N115,N115_N120,MY_FY_HY,Y,Y,Y,K,6,7.7,58.0,18.0,15.0,12.0,2.0,1.0,0.0,NA,NA,106,17.66666667,5,0.47582,0.07930333333,0.613,0.1226,0.2178234306,NA
4,N116,N115_N120,MY_FY_HY,Y,Y,Y,M,7,14.8,23.0,5.0,1.0,0.0,0.0,0.0,0.0,NA,NA,29,4.142857143,5,0.47582,0.07930333333,0.613,0.1226,0.2178234306,NA
4,N117,N115_N120,MY_FY_HY,Y,Y,Y,K,6,7.9,52.0,37.0,11.0,2.0,1.0,0.0,NA,NA,NA,103,17.16666667,5,0.47582,0.07930333333,0.613,0.1226,0.2178234306,NA
4,N118,N115_N120,MY_FY_HY,Y,Y,Y,M,6,13.6,73.0,2.0,2.0,0.0,0.0,0.0,NA,NA,NA,77,12.83333333,5,0.47582,0.07930333333,0.613,0.1226,0.2178234306,NA
4,N119,N115_N120,MY_FY_HY,Y,Y,Y,K,5,8.1,25.0,21.0,14.0,9.0,0.0,NA,NA,NA,NA,69,13.8,5,0.47582,0.07930333333,0.613,0.1226,0.2178234306,NA
4,N120,N115_N120,MY_FY_HY,Y,Y,Y,M,7,15.8,21.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,21,3,5,0.47582,0.07930333333,0.613,0.1226,0.2178234306,NA
4,N121,N121_N126,MY_FY_HY,Y,Y,Y,K,6,7.8,54.0,18.0,16.0,13.0,5.0,1.0,NA,NA,NA,107,17.83333333,6,0.55765,0.09294166667,0.81627,0.136045,0.1905068286,NA
4,N122,N121_N126,MY_FY_HY,Y,Y,Y,M,7,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA,3,0.4285714286,6,0.55765,0.09294166667,0.81627,0.136045,0.1905068286,NA
4,N123,N121_N126,MY_FY_HY,Y,Y,Y,K,7,7.6,21.0,12.0,5.0,2.0,1.0,0.0,0.0,NA,NA,41,5.857142857,6,0.55765,0.09294166667,0.81627,0.136045,0.1905068286,NA
4,N124,N121_N126,MY_FY_HY,Y,Y,Y,M,5,12.1,5.0,3.0,0.0,0.0,0.0,NA,NA,NA,NA,8,1.6,6,0.55765,0.09294166667,0.81627,0.136045,0.1905068286,NA
4,N125,N121_N126,MY_FY_HY,Y,Y,Y,K,5,8,45.0,34.0,27.0,1.0,1.0,NA,NA,NA,NA,108,21.6,6,0.55765,0.09294166667,0.81627,0.136045,0.1905068286,NA
